timestamp,throttle_cmd,steering_cmd,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09 18:39:35,2.0,-0.0,1476,1524,1524,1524,0,0,0,0
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09 18:39:35,2.0,-0.0,1381,1619,1619,1619,0,0,0,0
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09_183935,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09 18:39:36,2.0,-0.0,1285,1715,1715,1715,0,0,0,0
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09 18:39:36,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09 18:39:36,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09 18:39:36,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183936,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09 18:39:37,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183937,0.0,-0.0,1500,1500
2026-01-09_183937,0.0,-0.0,1500,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09 18:39:37,2.0,-0.0,1236,1764,1764,1764,0,0,0,0
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09 18:39:37,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09 18:39:37,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183937,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09 18:39:38,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09 18:39:38,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09 18:39:38,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09 18:39:38,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09_183938,2.0,-0.0,1900,1500
2026-01-09 18:39:39,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09 18:39:39,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09 18:39:39,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09 18:39:39,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09 18:39:39,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183939,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09 18:39:40,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09 18:39:40,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09 18:39:40,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09 18:39:40,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183940,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09 18:39:41,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09 18:39:41,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09 18:39:41,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09 18:39:41,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183941,2.0,-0.0,1900,1500
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09 18:39:42,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09 18:39:42,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09_183942,2.0,-0.0,1900,1500
2026-01-09 18:39:42,2.0,-0.0,1188,1812,1812,1812,0,0,0,0
